TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_0,10,0.25,0.5,1.0,0,6,24,36,True,0.4,False,4,15,22,True,"(1, 2, 0)",0.2777777777777778,0.2777777777777778
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,30,9,42,False,0.4,False,18,6,26,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_1,10,0.25,0.5,1.0,1,0,16,58,True,0.8,True,0,0,12,True,"(2, 1, 0)",0.6,0.6
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,50,0,40,False,0.8,True,10,0,8,True,"(2, 1, 0)",0.37777777777777777,0.5555555555555556
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_10,10,0.25,0.5,1.0,10,8,28,26,True,0.7,True,2,0,8,True,"(1, 2, 0)",0.8888888888888888,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,22,4,60,False,0.7,True,6,0,18,True,"(1, 2, 0)",0.35555555555555557,0.37777777777777777
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_11,10,0.25,0.5,1.0,11,4,22,42,True,0.4,False,2,14,26,True,"(1, 2, 0)",0.3,0.28888888888888886
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,66,3,18,False,0.4,False,40,2,10,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_12,10,0.25,0.5,1.0,12,20,25,20,True,0.2,False,16,20,16,True,"(2, 1, 0)",0.14444444444444443,0.12222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,36,3,48,False,0.2,False,28,3,38,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_13,10,0.25,0.5,1.0,13,2,16,56,True,0.4,True,2,0,34,True,"(0, 1, 2)",0.6,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,26,12,40,False,0.4,True,16,0,24,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_14,10,0.25,0.5,1.0,14,28,25,12,True,0.2,True,22,0,10,True,"(1, 2, 0)",0.6444444444444445,0.35555555555555557
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,22,27,14,False,0.2,True,18,0,12,False,"(1, 2, 0)",-1.0,-1.0
