PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,DISTRIBUTION_EXISTING,DISTRIBUTION_NON_EXISTING,MEDIAN,RECIPROCAL,METHOD,SCORE,DIFF
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_0,10,0.25,0.5,1.0,0,random.uniform,random.random,True,False,random,sum,0.6
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_0,10,0.25,0.5,1.0,0,random.uniform,random.random,True,False,random,avg,0.6
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_0,10,0.25,0.5,1.0,0,random.uniform,random.random,True,False,louvain,sum,0.6
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_0,10,0.25,0.5,1.0,0,random.uniform,random.random,True,False,louvain,avg,0.6
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_1,10,0.25,0.5,1.0,1,random.uniform,random.random,False,True,random,sum,0.35555555555555557
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_1,10,0.25,0.5,1.0,1,random.uniform,random.random,False,True,random,avg,0.35555555555555557
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_1,10,0.25,0.5,1.0,1,random.uniform,random.random,False,True,louvain,sum,0.35555555555555557
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_1,10,0.25,0.5,1.0,1,random.uniform,random.random,False,True,louvain,avg,0.35555555555555557
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_10,10,0.25,0.5,1.0,10,random.uniform,random.random,True,True,random,sum,0.7111111111111111
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_10,10,0.25,0.5,1.0,10,random.uniform,random.random,True,True,random,avg,0.7111111111111111
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_10,10,0.25,0.5,1.0,10,random.uniform,random.random,True,True,louvain,sum,0.7111111111111111
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_10,10,0.25,0.5,1.0,10,random.uniform,random.random,True,True,louvain,avg,0.7111111111111111
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_11,10,0.25,0.5,1.0,11,random.uniform,random.random,True,False,random,sum,0.5333333333333333
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_11,10,0.25,0.5,1.0,11,random.uniform,random.random,True,False,random,avg,0.5333333333333333
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_11,10,0.25,0.5,1.0,11,random.uniform,random.random,True,False,louvain,sum,0.5333333333333333
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_11,10,0.25,0.5,1.0,11,random.uniform,random.random,True,False,louvain,avg,0.5333333333333333
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_12,10,0.25,0.5,1.0,12,random.uniform,random.random,False,True,random,sum,0.7777777777777778
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_12,10,0.25,0.5,1.0,12,random.uniform,random.random,False,True,random,avg,0.6666666666666666
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_12,10,0.25,0.5,1.0,12,random.uniform,random.random,False,True,louvain,sum,0.7333333333333333
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_12,10,0.25,0.5,1.0,12,random.uniform,random.random,False,True,louvain,avg,0.7777777777777778
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_13,10,0.25,0.5,1.0,13,random.uniform,random.random,False,False,random,sum,0.37777777777777777
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_13,10,0.25,0.5,1.0,13,random.uniform,random.random,False,False,random,avg,0.37777777777777777
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_13,10,0.25,0.5,1.0,13,random.uniform,random.random,False,False,louvain,sum,0.37777777777777777
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_13,10,0.25,0.5,1.0,13,random.uniform,random.random,False,False,louvain,avg,0.37777777777777777
graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_14,10,0.25,0.5,1.0,14,random.uniform,random.random,True,True,random,sum,0.6888888888888889
